,agentInfos_globalId,duration,close,confirm outcome,describe issue,greeting,identify solution,none,respond to solution,understand need,verification
0,94353,3115.8538090129005,6.308571428571428,5.374499999999999,13.94816756756758,2.9812500000000006,10.731893095768374,1.849345528455286,3.957186224489798,5.162496969696968,4.105032258064515
1,111778,2491.1523994466243,5.290285714285715,7.831500000000001,12.666957610789991,3.0836969696969696,11.073921331316182,1.9710865712338135,3.8489902912621403,5.207109803921566,4.530477495107634
2,111828,1311.4551704781982,4.7737567567567565,9.50608695652174,9.824305439330542,3.0996799999999998,11.46882544378698,2.067070911722142,3.646149390243905,5.01983486238532,4.747679999999999
3,629894,1167.099045244949,4.65391304347826,9.438813953488372,11.795285714285722,2.6339444444444444,10.967236559139796,2.099696256684491,3.8803005050505033,5.112843930635839,5.063364077669904
4,695735,2271.257161149976,3.033,5.255454545454545,9.502366583541136,3.1263157894736846,15.486028037383184,2.2945418697385898,3.4925826702033573,5.160293040293039,4.378376093294462
5,794505,1483.0537162162173,4.995500000000002,9.26111111111111,11.042236907730684,2.9213125000000004,10.583254945054954,2.0691471861471875,4.779930735930737,5.414883720930234,4.703659313725488
6,798941,1884.049545052917,5.052999999999999,8.199250000000001,9.80525505443236,6.447837837837838,12.512353785900778,2.295799411764705,3.946437659033083,6.331052816901408,4.82222338204593
7,808916,3037.59347965421,3.6292564102564087,8.098787878787878,15.12509244644867,2.973750000000001,14.08442180094789,2.300562465602643,3.3773228271251194,7.077695512820512,4.711013916500991
8,818029,2210.865759917976,3.049130434782609,4.945000000000001,9.26920564763657,3.0306976744186045,14.806622427551442,2.3551619543089686,3.514408254822794,4.9987978142076495,4.081522935779812
9,819388,321.2927885906029,7.619999999999999,7.499999999999998,8.67074074074074,3.42,6.410534246575342,1.7818341708542706,3.505157142857141,3.19725,2.5681395348837213
10,884066,1845.863999999992,1.945,0.0,5.549575757575757,3.96,5.146600000000001,2.007663551401868,3.278730158730158,3.2699999999999996,1.746
11,915952,236.45856676136466,6.228461538461539,7.500000000000002,7.904038004750603,3.5653846153846156,5.756551594746724,1.7161402616279111,3.0657885010266943,3.0557058823529393,2.2758666666666656
12,917013,2569.7966829134775,3.3844444444444446,34.035,13.479389513108611,2.779230769230769,12.854922131147529,2.004951754385963,3.4147451737451733,4.548620689655173,4.759224137931034
13,924526,951.3893977455626,3.287,6.68,11.252673469387755,2.6550000000000002,9.847051020408161,1.6388661971830987,4.309756097560976,4.260909090909092,3.2671641791044777
14,926772,2185.538890158173,3.221666666666668,4.682307692307692,9.378669266770652,2.948108108108108,14.726011910927,2.408494134477814,3.539725099601597,4.961715575620768,3.9732514734774065
15,934452,367.72674728261035,2.230714285714286,5.182583333333334,9.231315789473685,4.3950000000000005,8.717,1.715915662650602,3.8082142857142856,5.138823529411765,3.9507272727272738
16,942108,1714.5085290818035,5.141639344262296,8.263617021276598,10.24875344563554,3.4736400000000005,11.620926218708824,2.253090461538465,4.512212548015363,6.232724025974022,4.734809599999998
17,945289,3463.8765494227096,4.7749999999999995,7.569166666666667,17.897930864197512,2.4854999999999996,13.91403036437248,2.034422972972973,3.3573936651583685,6.378294573643411,3.77913125
18,946045,467.8148502024283,2.9918181818181826,3.1625,9.775557377049182,2.457692307692308,9.339399999999998,1.8598780487804878,2.4342682926829275,5.411739130434782,4.084084337349397
19,946413,578.0306825503367,3.1748936170212776,2.917058823529412,10.662881355932203,2.836875000000001,8.297385620915039,1.709187702265373,2.7737482014388477,3.404415584415586,3.9533317757009345
20,946425,1389.3782648388024,4.194928571428571,5.937692307692307,11.510662404092079,2.7211111111111106,9.966533190578168,1.8069544879898893,5.006540476190476,4.978582089552236,3.9669233576642333
21,948857,1293.517485248475,4.770878787878788,9.817826086956522,10.087789473684209,3.1816,11.289054421768705,2.104812913907287,3.8048595890411,5.074245762711863,4.655238853503183
22,949358,1039.6731593090137,3.2878,6.68,12.276853658536583,3.19,9.97243902439024,1.6485867768595033,4.296363636363638,4.384285714285714,3.2297843137254905
23,949359,1817.9497706031755,4.826533333333332,8.804347826086953,11.51309433962264,6.965999999999999,13.244280082987563,2.149165618448638,3.951462719298247,6.039837398373985,4.963540816326529
